Date,Open,High,Low,Close,Volume,DJI,Nasdaq,Stochastic_Oscillator,Stochastic_Move,RSI,RSI_Move,Wiki_Traffic,Wiki_MA_2,Wiki_MA_3,Wiki_MA_4,Wiki_MA_5,Wiki_MA_6,Wiki_MA_7,Wiki_MA_8,Wiki_MA_9,Wiki_MA_10,Wiki_EMA_3,Wiki_EMA_5,Wiki_EMA_10,Wiki_3_day_Disparity,Wiki_5_day_Disparity,Wiki_10_day_Disparity,Wiki_Momentum_1,Wiki_Momentum_2,Wiki_ROC,Wiki_Move,Wiki_MA3_Move,Wiki_EMA5_Move,Wiki_3dayDisparity_Move,Wiki_ROC_Move,Wiki_5_day_RSI,Wiki_RSI_Move,Google,Google_MA_2,Google_MA_3,Google_MA_4,Google_MA_5,Google_MA_6,Google_MA_7,Google_MA_8,Google_MA_9,Google_MA_10,Google_EMA_3,Google_EMA_5,Google_EMA_10,Google_3_day_Disparity,Google_5_day_Disparity,Google_10_day_Disparity,Google_Momentum_1,Google_Momentum_2,Google_ROC,Google_Move,Google_MA3_Move,Google_EMA5_Move,Google_3dayDisparity_Move,Google_ROC_Move,Google_5_day_RSI,Google_RSI_Move,News_Sentiment,Senti_Move,Target1,Target2,Target3,Target4,Target5
1/2/2013,553.82,555,541.63,72.84,140129500,13412.55,3112.26,88.9,1,53.05,1,14935,12756.5,12589,12380.25,12258,11763.83333,11562.57143,12142.75,12437.44444,13602.3,13231.83333,12398.06667,13844.60909,118.6353165,121.8387992,109.7976078,126.9011811,3166,26.90118107,1,1,1,1,1,81.26108156,1,18.13636364,15.27272727,16.66547831,17.04812834,16.39928699,15.3392751,16.98795009,19.20445633,19.87062785,19.84356506,17.41087344,15.89869281,19.5331648,108.8259412,110.5923913,91.39670004,131.3855888,4.332442068,38.17860826,1,0,0,1,1,68.25250131,1,-0.063,1,0,0,0,0,0
1/3/2013,547.88,549.67,541,71.92,88241300,13391.36,3100.57,76.01,0,51.19,0,16827,15881,14113.33333,13648.5,13269.6,13019.5,12487.14286,12220.625,12663.22222,12876.4,14708,13781,13594.69091,119.2276807,126.8086453,130.6809357,143.1597754,5073,43.1597754,1,1,1,1,1,79.96445498,0,17.81818182,17.97727273,16.12121212,16.95365419,17.20213904,16.63576946,15.69340463,17.09172906,19.05042583,19.66538324,17.24183007,16.87225193,19.32952844,110.5263158,103.5811987,90.60683739,97.92319749,-0.377896613,-3.11527674,0,0,1,1,0,60.71360609,0,-0.274,0,0,0,0,0,1
1/4/2013,536.97,538.63,525.83,69.91,148583400,13435.21,3101.66,47.93,0,49.01,0,14362,15594.5,15374.66667,14175.5,13791.2,13451.66667,13211.28571,12721.5,12458.55556,12833.1,14237.66667,13633.73333,13111.08182,93.41340734,104.1388712,111.9137231,117.2025461,2108,17.20254611,0,1,0,0,0,61.97428834,0,12.40909091,15.11363636,16.12121212,15.19318182,16.04474153,16.40329768,16.03195824,15.28286542,16.57143593,18.38629234,14.26515152,15.60445633,17.29952844,76.97368421,77.34054727,67.49099102,63.79673754,-7.041889483,-62.05496479,0,1,0,0,0,35.35039033,0,-0.033,1,0,0,0,0,0
1/7/2013,522,529.3,515.2,69.5,121039100,13384.29,3098.81,42.16,0,55.94,1,15060,14711,15416.33333,15296,14352.4,14002.66667,13681.42857,13442.375,12981.33333,12718.7,15217.33333,14214.13333,13144.39091,97.68859867,104.9301859,118.4083279,142.3709586,4482,42.37095859,1,1,1,1,1,62.6533189,1,18.51515152,15.46212121,16.24747475,16.71969697,15.85757576,16.45647653,16.70499109,16.3423574,15.64200832,16.76580749,17.31818182,16.86821153,17.08387004,113.9571029,116.7590292,110.4339981,149.2063492,6.106060606,30.28799904,1,1,1,1,1,48.09810172,1,-0.369,0,1,1,1,1,0
1/8/2013,529.21,531.89,521.25,69.69,114676800,13328.85,3091.81,41.02,0,52.91,0,15916,15488,15112.66667,15541.25,15420,14613,14276,13960.75,13717.22222,13274.8,15666.16667,14873.6,13755.01818,105.3156293,103.2166018,119.896345,106.5684633,981,6.568463341,1,0,1,1,0,75.99337748,1,15.36363636,16.93939394,15.42929293,16.02651515,16.44848485,15.77525253,16.30035651,16.53732175,16.23361062,15.61417112,15.80555556,15.69292929,15.56861935,99.57446809,93.4045689,98.39546552,84.71177945,-2.772727273,-14.14656772,0,0,0,0,0,57.13240673,1,-0.262,1,0,0,0,0,0
1/9/2013,522.5,525.01,515.99,68.6,101901100,13390.51,3105.81,24.71,0,41.95,0,15876,15896,15617.33333,15303.5,15608.2,15496,14793.42857,14476,14173.55556,13933.1,15494.33333,15572,14286.35455,101.6562793,101.7157648,113.9444919,94.34836869,-951,-5.651631307,0,1,1,0,0,57.90623425,0,11.81818182,13.59090909,15.23232323,14.52651515,15.18484848,15.67676768,15.20995671,15.74008467,16.01297287,15.79206774,13.62373737,14.90505051,15.06954302,77.5862069,77.82877669,74.83619001,66.32653061,-6,-23.80952381,0,0,0,0,0,32.95175797,0,-0.153,1,1,1,1,1,1
1/10/2013,528.55,528.72,515.52,69.45,150286500,13471.22,3121.76,37.45,1,48.64,1,16088,15982,15960,15735,15460.4,15688.16667,15580.57143,14955.25,14655.11111,14365,15852.66667,15768.13333,14678.27273,100.802005,104.0594034,111.9944309,112.0178248,1726,12.01782482,1,1,1,0,1,41.3486303,0,16.93939394,14.37878788,14.70707071,15.65909091,15.00909091,15.47727273,15.85714286,15.42613636,15.87334126,16.10561497,16.08585859,15.76969697,16.25721115,115.1785714,112.8608924,105.1769459,136.5079365,4.53030303,13.04810781,1,0,1,1,1,48.11688312,1,0.133,1,0,0,0,0,0
1/11/2013,521,525.32,519.02,69.03,87626700,13488.43,3125.63,31.07,0,49.3,1,14479,15283.5,15481,15589.75,15483.8,15296.83333,15515.42857,15442.875,14902.33333,14637.5,15219.5,15133.26667,14608.68182,93.5275499,93.51063692,98.91716482,96.14209827,-581,-3.857901726,0,0,0,0,0,51.71303075,1,14.96969697,15.95454545,14.57575758,14.77272727,15.52121212,15.00252525,15.4047619,15.74621212,15.37542088,15.78297683,14.83838384,14.9959596,15.63510776,102.7027027,96.44670051,94.84710732,80.85106383,-3.545454545,-13.18993506,0,0,0,0,0,56.43564356,1,0.032,0,0,0,0,0,1
1/14/2013,502.68,507.5,498.51,66.56,183551900,13507.32,3117.5,5.74,0,42.54,0,14811,14645,15126,15313.5,15434,15371.66667,15227.42857,15427.375,15372.66667,14893.2,15146,15259.53333,14878.25455,97.91749306,95.9634573,99.44807026,93.05730083,-1105,-6.942699171,1,0,1,1,0,45.916694,0,23.63636364,19.3030303,18.51515152,16.84090909,16.54545455,16.87373737,16.23593074,16.43371212,16.62289562,16.20151515,19.10606061,18.22626263,17.55330579,127.6595745,142.8571429,145.8898345,153.8461538,8.272727273,82.40411932,1,1,1,1,1,61.40350877,1,-0.138,0,0,0,0,0,1
1/15/2013,498.3,498.99,483.38,64.46,219193100,13534.89,3110.78,3.55,0,37.11,0,15553,15182,14947.66667,15232.75,15361.4,15453.83333,15397.57143,15268.125,15441.33333,15390.7,15339.5,15473.66667,15420.20909,104.0496845,101.2472821,101.0545329,97.96548249,-323,-2.034517511,1,0,1,1,1,43.81601363,0,30.13636364,26.88636364,22.91414141,21.42045455,19.5,18.81060606,18.76839827,17.97348485,17.95622896,17.97424242,24.32575758,21.07575758,20.18553719,131.5186246,154.5454545,167.6641659,255,18.31818182,132.7027376,1,1,1,1,1,78.6259542,1,-0.598,0,1,0,1,1,0
1/16/2013,494.64,509.44,492.5,67.14,172701200,13511.23,3117.54,31.71,1,47.63,1,15850,15701.5,15404.66667,15173.25,15356.2,15442.83333,15510.42857,15454.125,15332.77778,15482.2,15398.83333,15524.26667,15549.07273,102.8908989,103.2156393,102.3756314,98.5206365,-238,-1.479363501,1,1,1,0,1,49.59273183,1,23.04545455,26.59090909,25.60606061,22.9469697,21.74545455,20.09090909,19.41558442,19.3030303,18.53703704,18.46515152,22.97979798,20.68181818,19.29793388,90,105.9782609,124.8051202,136.0465116,6.106060606,33.55701411,0,1,0,0,0,69.12751678,0,-0.207,1,1,1,0,1,0
1/17/2013,510.31,510.75,502.03,66.69,113419600,13596.02,3136,26.95,0,45.8,0,15823,15836.5,15742,15509.25,15303.2,15434,15497.14286,15549.5,15495.11111,15381.8,15613.83333,15511.8,15462.01818,100.5145471,103.3966752,102.8683249,109.282409,1344,9.282409006,0,1,0,0,1,45.5936149,0,22.45454545,22.75,25.21212121,24.81818182,22.84848485,21.86363636,20.42857143,19.79545455,19.65319865,18.92878788,24.03030303,21.98181818,19.56983471,89.0625,98.27586207,118.6264308,150,7.484848485,38.48057185,0,0,1,0,1,61.11111111,0,-0.124,1,0,0,0,0,1
1/18/2013,498.52,502.22,496.4,66.33,118230700,13649.7,3134.71,23.21,0,46.68,1,14703,15263,15458.66667,15482.25,15348,15203.16667,15329.57143,15397.875,15455.44444,15415.9,15222.5,15103.13333,15286.28182,95.1116957,95.79749805,95.37555381,99.27081223,-108,-0.729187766,0,0,0,0,0,54.44797458,1,24.81818182,23.63636364,23.43939394,25.11363636,24.81818182,23.17676768,22.28571429,20.97727273,20.35353535,20.16969697,25.01515152,23.50505051,21.01487603,105.8823529,100,123.046875,105,1.181818182,9.523809524,1,0,1,1,0,69.53125,1,0.071,1,1,1,1,1,0
