Date,Open,High,Low,Close,Volume,DJI,Nasdaq,Stochastic_Oscillator,Stochastic_Move,RSI,RSI_Move,Wiki_Traffic,Wiki_MA_2,Wiki_MA_3,Wiki_MA_4,Wiki_MA_5,Wiki_MA_6,Wiki_MA_7,Wiki_MA_8,Wiki_MA_9,Wiki_MA_10,Wiki_EMA_3,Wiki_EMA_5,Wiki_EMA_10,Wiki_3_day_Disparity,Wiki_5_day_Disparity,Wiki_10_day_Disparity,Wiki_Momentum_1,Wiki_Momentum_2,Wiki_ROC,Wiki_Move,Wiki_MA3_Move,Wiki_EMA5_Move,Wiki_3dayDisparity_Move,Wiki_ROC_Move,Wiki_5_day_RSI,Wiki_RSI_Move,Google,Google_MA_2,Google_MA_3,Google_MA_4,Google_MA_5,Google_MA_6,Google_MA_7,Google_MA_8,Google_MA_9,Google_MA_10,Google_EMA_3,Google_EMA_5,Google_EMA_10,Google_3_day_Disparity,Google_5_day_Disparity,Google_10_day_Disparity,Google_Momentum_1,Google_Momentum_2,Google_ROC,Google_Move,Google_MA3_Move,Google_EMA5_Move,Google_3dayDisparity_Move,Google_ROC_Move,Google_5_day_RSI,Google_RSI_Move,News_Sentiment,Senti_Move,Target1,Target2,Target3,Target4,Target5
1/2/13,20.120001,20.34,20.01,18.225304,40304500,13412.55,3112.26,83.73976747,1,60.37036517,1,2109,1754,1759.666667,1737.75,1714.8,1630,1609.285714,1637,1675,1709.5,1861.5,1725.8,1782.136364,119.8522447,122.9881036,123.3694063,129.9445471,486,29.94454713,1,1,1,1,1,77.41347905,1,75.6,61.8,59.17660819,59.25964912,61.54105263,60.58245614,58.10325815,57.30526316,54.96920078,52.79157895,64.70643275,63.58596491,56.93856459,127.7531821,122.8448276,143.2046578,106.9811321,4.933333333,6.072778318,1,1,1,1,1,65.20521383,1,0.5,0,1,1,1,1,1
1/3/13,20.459999,20.5,20.299999,18.323868,50603500,13391.36,3100.57,92.68287334,1,63.0435143,1,2026,2067.5,1844.666667,1826.25,1795.4,1766.666667,1686.571429,1661.375,1680.222222,1710.1,1892.833333,1818.533333,1767.536364,109.8301409,112.8439345,118.4726039,121.1722488,354,21.1722488,0,1,1,0,0,65.34653465,0,109.2,92.4,77.6,71.68245614,69.2477193,69.48421053,67.52781955,64.49035088,63.07134503,60.3922807,84.18830409,77.42736842,69.26641148,140.7216495,157.6947243,180.817811,183.5023585,49.69122807,59.28623757,1,1,1,1,1,72.97297297,1,0.286,0,0,0,1,1,0
1/4/13,20.41,20.68,20.389999,18.350748,36378900,13435.21,3101.66,85.40146967,0,63.30936407,1,2160,2093,2098.333333,1923.5,1893,1856.166667,1822.857143,1745.75,1716.777778,1728.2,2002.333333,1916.933333,1806.709091,102.9388403,114.1045959,124.9855341,121.9649915,389,21.96499153,1,1,1,0,1,67.45350501,1,103.2,106.2,96,84,77.98596491,74.90643275,74.30075188,71.98684211,68.791423,67.08421053,90.4,80.5651462,73.6507177,107.5,132.3315036,153.8364977,191.3597918,49.27017544,70.75837743,0,1,1,0,1,77.75499287,1,0.193,0,0,0,0,0,0
1/7/13,20.379999,20.42,20.16,18.180503,30790700,13384.29,3098.81,71.53296338,0,57.5438738,0,2281,2220.5,2155.666667,2144,1995,1957.666667,1916.857143,1880.125,1805.222222,1773.2,2189.666667,2022.333333,1865.527273,105.8141333,114.3358396,128.6374915,163.0450322,882,63.04503217,1,1,1,1,1,67.95774648,1,60.5,81.85,90.96666667,87.125,79.3,75.07163743,72.84837093,72.57565789,70.71052632,67.9622807,78.25,72.15730994,66.60550239,66.50787834,76.2925599,89.01996722,126.0416667,12.5,43.76535627,0,0,0,0,0,52.83613286,0,0.692,1,0,0,1,0,1
1/8/13,20.18,20.34,20.08,18.198422,33218100,13328.85,3091.81,72.99268181,1,53.81677194,0,2323,2302,2254.666667,2197.5,2179.8,2049.666667,2009.857143,1967.625,1929.333333,1857,2239.333333,2104.333333,1941.727273,103.030751,106.56941,125.094238,110.1469891,214,10.14698909,1,1,1,0,0,92.3853211,1,82.5,71.5,82.06666667,88.85,86.2,79.83333333,76.13283208,74.05482456,73.67836257,71.88947368,86.73333333,80.36666667,73.81866029,100.528026,95.70765661,114.7594992,109.1269841,6.9,20.78752643,1,0,1,1,0,63.07808946,1,0.514,0,0,1,0,1,0
1/9/13,20.26,20.540001,20.25,18.189462,30380100,13390.51,3105.81,72.26278186,0,48.30509517,0,2281,2302,2295,2261.25,2214.2,2196.666667,2082.714286,2043.75,2002.444444,1964.5,2267.833333,2213.533333,2022.045455,99.38997821,103.016891,116.1109697,112.5863771,255,12.5863771,0,1,1,0,1,70.37914692,0,83.6,83.05,75.53333333,82.45,87.8,85.76666667,80.37142857,77.06622807,75.11539961,74.67052632,82.83333333,85.33333333,76.29406699,110.6796117,95.21640091,111.9584984,76.55677656,-25.6,-70.56092843,1,0,1,1,0,53.79506641,0,0.512,0,1,1,1,1,1
1/10/13,20.35,20.49,20.290001,18.314907,31419200,13471.22,3121.76,82.48178842,1,53.55647754,1,2434,2357.5,2346,2329.75,2295.8,2250.833333,2230.571429,2126.625,2087.111111,2045.6,2364.5,2287.466667,2116.218182,103.7510656,106.0196881,118.9870943,112.6851852,274,12.68518519,1,1,1,1,1,91.46341463,1,74.8,79.2,80.3,75.35,80.92,85.63333333,84.2,79.675,76.81442495,75.08385965,75.16666667,83.46666667,75.0322488,93.15068493,92.43697479,99.62194318,72.48062016,-28.4,-54.91180461,0,1,0,0,1,28.66004963,0,0.226,0,0,1,1,1,0
1/11/13,20.4,20.51,20.33,18.350748,23423800,13488.43,3125.63,85.40146967,1,55.00001395,1,2239,2336.5,2318,2319.25,2311.6,2286.333333,2249.142857,2231.625,2139.111111,2102.3,2292.5,2276.866667,2127.154545,96.59188956,96.85931822,106.5024021,98.15870232,-42,-1.841297676,0,0,0,0,0,57.14285714,0,82.5,78.65,80.3,80.85,76.78,81.18333333,85.18571429,83.9875,79.98888889,77.38298246,81.4,81.44666667,78.31334928,102.739726,107.4498567,106.6125877,136.3636364,22,50.89285714,1,1,0,1,1,37.42405832,1,0.36,1,1,1,1,1,1
1/14/13,20.68,20.99,20.65,18.789804,55156900,13507.32,3117.5,98.8094656,1,69.34869439,1,2279,2259,2317.333333,2308.25,2311.2,2306.166667,2285.285714,2252.875,2236.888889,2153.1,2298.5,2300.733333,2175.990909,98.34579977,98.60678435,105.8473828,98.10589755,-44,-1.894102454,1,0,1,1,0,49.78813559,0,40.7755102,61.6377551,66.02517007,70.41887755,72.83510204,70.7792517,75.41078717,79.63443878,79.1861678,76.06755102,60.5377551,64.7785034,69.65081633,61.75752393,55.98332269,53.60434201,49.42486085,-41.7244898,-74.78917982,0,0,0,0,0,37.87297046,1,0.667,1,0,1,1,1,0
1/15/13,20.92,20.99,20.780001,18.798764,29550900,13534.89,3110.78,99.40468134,1,73.0924017,1,2458,2368.5,2325.333333,2352.5,2338.2,2335.666667,2327.857143,2306.875,2275.666667,2259,2387.666667,2360.133333,2295.181818,105.7052752,105.1235993,108.8092076,107.7597545,177,7.759754494,1,1,1,1,1,61.08374384,1,59.51020408,50.14285714,60.92857143,64.39642857,68.23714286,70.61428571,69.16938776,73.42321429,77.3984127,77.21857143,62.76768707,68.39346939,73.99886827,97.67208173,87.21086726,77.0672171,71.18445464,-24.08979592,-34.08933385,1,0,1,1,1,35.27412481,0,-0.114,0,0,0,1,1,1
