Date,Open,High,Low,Close,Volume,DJI,Nasdaq,Stochastic_Oscillator,Stochastic_Move,RSI,RSI_Move,Wiki_Traffic,Wiki_MA_2,Wiki_MA_3,Wiki_MA_4,Wiki_MA_5,Wiki_MA_6,Wiki_MA_7,Wiki_MA_8,Wiki_MA_9,Wiki_MA_10,Wiki_EMA_3,Wiki_EMA_5,Wiki_EMA_10,Wiki_3_day_Disparity,Wiki_5_day_Disparity,Wiki_10_day_Disparity,Wiki_Momentum_1,Wiki_Momentum_2,Wiki_ROC,Wiki_Move,Wiki_MA3_Move,Wiki_EMA5_Move,Wiki_3dayDisparity_Move,Wiki_ROC_Move,Wiki_5_day_RSI,Wiki_RSI_Move,Google,Google_MA_2,Google_MA_3,Google_MA_4,Google_MA_5,Google_MA_6,Google_MA_7,Google_MA_8,Google_MA_9,Google_MA_10,Google_EMA_3,Google_EMA_5,Google_EMA_10,Google_3_day_Disparity,Google_5_day_Disparity,Google_10_day_Disparity,Google_Momentum_1,Google_Momentum_2,Google_ROC,Google_Move,Google_MA3_Move,Google_EMA5_Move,Google_3dayDisparity_Move,Google_ROC_Move,Google_5_day_RSI,Google_RSI_Move,News_Sentiment,Senti_Move,Target1,Target2,Target3,Target4,Target5
1/2/13,719.42,727,716.55,361.26,5101500,13412.55,3112.26,83.58,1,67.71,1,48802,48209,70591.33,88813.5,101657.8,109949.17,103128.71,98720.13,94126.22,91250.4,75476.33,97719.73,83532.51,69.13,48.01,53.48,31.89,-104233,-68.11,1,0,0,1,1,2.600846314,0,75.6,61.8,59.17660819,59.25964912,61.54105263,60.58245614,58.10325815,57.30526316,54.96920078,52.79157895,64.70643275,63.58596491,56.93856459,127.7531821,122.8448276,143.2046578,106.9811321,4.933333333,6.072778318,1,1,1,1,1,65.20521383,1,-0.089,0,1,1,1,1,0
1/3/13,724.93,731.93,720.72,361.47,4653700,13391.36,3100.57,77.01,0,67.59,0,41283,45042.5,45900.33,63264.25,79307.4,91595.33,100139.71,95398,92338.22,88841.9,55937.17,81532.87,80194.83,89.94,52.05,46.47,28.77,-102197,-71.23,0,0,0,1,0,1.039220497,0,109.2,92.4,77.6,71.68245614,69.2477193,69.48421053,67.52781955,64.49035088,63.07134503,60.3922807,84.18830409,77.42736842,69.26641148,140.7216495,157.6947243,180.817811,183.5023585,49.69122807,59.28623757,1,1,1,1,1,72.97297297,1,-0.138,0,1,1,1,1,1
1/4/13,729.34,741.47,727.68,368.62,5547600,13435.21,3101.66,92.3,1,71.15,1,39260,40271.5,43115,44240.25,58463.4,72632.83,84118.86,92529.75,89160.44,87030.4,42580.17,65958.27,78344.87,91.06,67.15,45.11,34.03,-76096,-65.97,0,0,0,1,1,1.112653858,1,103.2,106.2,96,84,77.98596491,74.90643275,74.30075188,71.98684211,68.791423,67.08421053,90.4,80.5651462,73.6507177,107.5,132.3315036,153.8364977,191.3597918,49.27017544,70.75837743,0,1,1,0,1,77.75499287,1,-0.416,0,0,1,0,1,0
1/7/13,735.45,739.38,730.58,367.01,3323800,13384.29,3098.81,85.22,0,69.1,0,42485,40872.5,41009.33,42957.5,43889.2,55800.33,68326,78914.63,86969.22,84492.9,42800,53137.27,76855.1,103.6,96.8,50.28,89.22,-5131,-10.78,1,0,0,1,1,5.399483432,1,60.5,81.85,90.96666667,87.125,79.3,75.07163743,72.84837093,72.57565789,70.71052632,67.9622807,78.25,72.15730994,66.60550239,66.50787834,76.2925599,89.01996722,126.0416667,12.5,43.76535627,0,0,0,0,0,52.83613286,0,-0.232,1,1,1,0,0,1
1/8/13,735.54,736.3,724.43,366.28,3364700,13328.85,3091.81,82.03,0,59.14,0,41078,41781.5,40941,41026.5,42581.6,43420.67,53697.14,64920,74710.56,82380.1,41043.67,42952.13,74870.63,100.33,96.47,49.86,84.17,-7724,-15.83,0,0,0,0,0,28.71744792,1,82.5,71.5,82.06666667,88.85,86.2,79.83333333,76.13283208,74.05482456,73.67836257,71.88947368,86.73333333,80.36666667,73.81866029,100.528026,95.70765661,114.7594992,109.1269841,6.9,20.78752643,1,0,1,1,0,63.07808946,1,-0.068,1,0,0,1,1,1
1/9/13,732.27,738.35,728.6,368.69,4064500,13390.51,3105.81,92.63,1,61.68,1,43073,42075.5,42212,41474,41435.8,42663.5,43371,52369.13,62492.56,71546.8,42007,42745.4,66369.75,102.04,103.95,60.2,104.34,1790,4.34,1,1,0,1,1,32.28400025,1,83.6,83.05,75.53333333,82.45,87.8,85.76666667,80.37142857,77.06622807,75.11539961,74.67052632,82.83333333,85.33333333,76.29406699,110.6796117,95.21640091,111.9584984,76.55677656,-25.6,-70.56092843,1,0,1,1,0,53.79506641,0,0.164,1,1,1,1,1,0
1/10/13,742.83,745,733.5,370.37,3685000,13471.22,3121.76,92.82,1,64.17,1,43641,43357,42597.33,42569.25,41907.4,41803.33,42803.14,43404.75,51399.33,60607.4,42926.5,42170.87,57522.6,102.45,104.14,72.01,111.16,4381,11.16,1,1,0,1,1,62.7901931,1,74.8,79.2,80.3,75.35,80.92,85.63333333,84.2,79.675,76.81442495,75.08385965,75.16666667,83.46666667,75.0322488,93.15068493,92.43697479,99.62194318,72.48062016,-28.4,-54.91180461,0,1,0,0,1,28.66004963,0,0.087,0,1,0,0,0,0
1/11/13,742,742.43,736.3,369.63,2579900,13488.43,3125.63,89.78,0,61.81,0,41199,42420,42637.67,42247.75,42295.2,41789.33,41717,42602.63,43159.67,50379.3,41898.17,41671.27,48710.15,96.63,97.41,81.78,96.97,-1286,-3.03,0,1,0,0,0,60.0601847,0,82.5,78.65,80.3,80.85,76.78,81.18333333,85.18571429,83.9875,79.98888889,77.38298246,81.4,81.44666667,78.31334928,102.739726,107.4498567,106.6125877,136.3636364,22,50.89285714,1,1,0,1,1,37.42405832,1,-0.17,0,0,0,0,0,1
1/14/13,737,742.2,722.35,361.26,5749200,13507.32,3117.5,55.61,0,54.5,0,50037,45618,44959,44487.5,43805.6,43585.5,42967.57,42757,43428.67,43847.4,46337.33,44875.8,44972.78,111.29,114.23,114.12,121.81,8959,21.81,1,1,1,1,1,74.76065574,1,40.7755102,61.6377551,66.02517007,70.41887755,72.83510204,70.7792517,75.41078717,79.63443878,79.1861678,76.06755102,60.5377551,64.7785034,69.65081633,61.75752393,55.98332269,53.60434201,49.42486085,-41.7244898,-74.78917982,0,0,0,0,0,37.87297046,1,0.042,1,0,0,1,0,1
1/15/13,719.33,735,712.1,362.1,7884700,13534.89,3110.78,59.04,1,59.62,1,49619,49828,46951.67,46124,45513.8,44774.5,44447.43,43799,43519.44,44047.7,47289,45743.4,45060.66,105.68,109.02,112.65,115.2,6546,15.2,0,1,1,0,0,79.94530538,1,59.51020408,50.14285714,60.92857143,64.39642857,68.23714286,70.61428571,69.16938776,73.42321429,77.3984127,77.21857143,62.76768707,68.39346939,73.99886827,97.67208173,87.21086726,77.0672171,71.18445464,-24.08979592,-34.08933385,1,0,1,1,1,35.27412481,0,0.033,0,0,1,0,0,0
1/16/13,722.4,724.34,713.67,357.24,4061900,13511.23,3117.54,39.16,0,53.54,0,43666,46642.5,47774,46130.25,45632.4,45205.83,44616.14,44349.75,43784.22,43534.1,45308.83,44897.87,43558.08,91.4,95.69,100.3,100.06,25,0.06,0,1,0,0,0,51.62742192,0,93.67346939,76.59183673,64.65306122,69.11479592,70.25183673,72.47653061,73.90845481,72.23239796,75.67324263,79.02591837,77.30102041,76.71591837,81.68910946,144.8863636,133.3395307,118.5351228,125.2319109,18.87346939,31.71544089,1,1,1,1,1,54.53259871,1,0.048,1,1,0,0,0,1
1/17/13,717.71,719.64,711.02,355.31,4439500,13596.02,3136,31.27,0,52.78,0,43491,43578.5,45592,46703.25,45602.4,45275.5,44960.86,44475.5,44254.33,43754.9,45632.5,44918.6,43706.92,95.39,95.37,99.4,105.56,2292,5.56,0,0,1,1,1,49.57926624,0,77.14285714,85.40816327,76.7755102,67.7755102,70.72040816,71.40034014,73.14314869,74.3127551,72.77800454,75.82020408,70.89795918,72.54884354,76.06068646,100.4784689,109.0814648,101.7444599,93.50649351,-5.357142857,-9.93354401,0,1,0,0,0,50.98561077,0,-0.023,0,0,0,0,0,1
1/18/13,710.36,712.77,701.33,351.9,6477700,13649.7,3134.71,17.37,0,52.47,0,51061,47276,46072.67,46959.25,47574.8,46512.17,46102,45723.38,45207.22,44935,48326.5,47421.93,46048.82,110.83,107.33,113.63,102.05,1024,2.05,1,1,1,1,0,71.48209462,1,62.81632653,69.97959184,77.87755102,73.28571429,66.78367347,69.40306122,70.17405248,71.85229592,73.03537415,71.78183673,69.79591837,68.08571429,70.15174397,80.66037736,94.05940594,87.5100574,154.0540541,22.04081633,45.91836735,0,1,0,0,1,42.15662357,0,-0.16,0,1,0,0,0,1
1/22/13,704.66,705.34,695.52,351.08,7613100,13712.21,3143.18,14.85,0,47.36,0,40634,45847.5,45062,44713,45694.2,46418,45672.43,45418.5,45157.89,44749.9,43353.33,45261.2,44001.55,90.17,88.93,90.8,81.89,-8985,-18.11,0,0,0,0,0,30.84382512,0,53.45054945,58.13343799,64.46991104,71.77080063,69.31868132,64.56148613,67.12413097,68.0836146,69.80765742,71.07689168,65.66405024,62.3392988,67.87210218,82.907745,77.10843373,75.20102271,89.81745278,-6.059654631,-8.015416179,0,0,0,1,0,56.80569136,1,-0.077,1,1,1,1,1,1
1/23/13,735.99,749,735.79,370.38,11862400,13779.33,3153.67,85.98,1,58.44,1,42985,41809.5,44893.33,44542.75,44367.4,45242.67,45927.57,45336.5,45148.11,44940.6,44023.5,44791.13,44585.04,95.75,96.88,95.65,98.44,-681,-1.56,1,0,0,1,1,37.47167246,1,59.78021978,56.61538462,58.68236525,63.29748823,69.37268446,67.72893773,63.87844808,66.20614207,67.16101518,68.80491366,62.12506541,66.13919414,67.16406023,101.8708423,86.17256237,86.88364915,63.81766382,-33.89324961,-31.03777437,1,0,1,1,0,50.16726311,0,0.085,1,0,1,1,1,0
1/24/13,741.24,756.83,740.51,376.73,6790600,13825.33,3130.38,95.73,1,62.68,1,39571,41278,41063.33,43562.75,43548.4,43568,44432.43,45133,44695.89,44590.4,42232.17,42768.6,43677.78,96.37,90.87,88.74,90.99,-3920,-9.01,0,0,0,1,0,41.44629653,1,60.48351648,60.13186813,57.9047619,59.13265306,62.73469388,67.89115646,66.69387755,63.45408163,65.57029478,66.49326531,59.58294087,66.40962847,65.4005837,104.4534413,96.41159101,90.9618684,78.4045584,-16.65934066,-16.14277196,1,0,1,1,1,14.88273204,0,0.312,1,0,1,0,1,0
1/25/13,750.77,758.48,750.25,376.46,4468400,13895.98,3149.71,92.36,0,57.36,0,49537,44554,44031,43181.75,44757.6,44546.5,44420.71,45070.5,45622.33,45180,45300.17,45544.6,45972.18,112.5,110.68,109.64,97.02,-1524,-2.98,1,1,1,1,1,58.96287951,1,35.16483516,47.82417582,51.80952381,52.21978022,54.33908948,58.13971743,63.21596771,62.75274725,60.31083203,62.52974882,46.53479853,53.54474097,57.55430998,67.87330317,64.71369966,56.23696853,55.98040686,-27.65149137,-45.70494441,0,0,0,0,0,12.54901961,0,0.153,0,0,1,0,0,0
1/28/13,751.76,755.6,747.89,374.99,3266300,13881.93,3154.3,87.69,0,57.51,1,48535,49036,45881,45157,44252.4,45387.17,45116.29,44935,45455.44,45913.6,46283,46016.73,46390.22,105.78,109.68,105.71,119.44,7901,19.44,0,1,1,0,1,45.34977909,0,39.13043478,37.14763497,44.92626214,48.63975155,49.60191113,51.8043137,55.42410562,60.20527609,60.12804587,58.1927923,45.4699793,49.26953792,54.72690912,87.09924422,78.88896595,67.24275161,73.20866705,-14.32011467,-17.35771475,1,0,0,1,1,24.07582825,1,-0.178,0,0,0,1,1,1
1/29/13,746.75,756.95,746.54,376.46,3507200,13954.42,3153.66,92.38,1,59.44,1,44662,46598.5,47578,45576.25,45058,44320.67,45283.57,45059.5,44904.67,45376.1,45271.5,44388.93,45246.26,93.87,99.12,98.43,103.9,1677,3.9,0,1,0,0,0,59.77385228,1,50.43478261,44.7826087,41.57668419,46.30339226,48.99875776,49.74072305,51.6086664,54.80044024,59.1196657,59.15871954,47.68052238,49.87953496,57.57254919,121.305447,102.9307372,85.25333712,84.36700767,-9.345437172,-11.1787526,1,0,1,1,1,46.83361425,1,-0.264,0,1,1,1,1,0
1/30/13,753.74,760.95,752.91,376.54,3478900,13910.42,3142.31,89.12,0,57.61,0,51591,48126.5,48262.67,48581.25,46779.2,46146.83,45359.29,46072,45785.22,45573.3,49584.5,47235.67,46667.43,106.9,110.29,113.2,130.38,12020,30.38,1,1,1,1,1,67.08624524,1,40,45.2173913,43.1884058,41.18251314,45.04271381,47.4989648,48.34919118,50.1575831,53.15594688,57.20769913,40.78834209,45.99917184,54.07902656,92.61744966,88.80459595,69.92065859,66.13372093,-20.48351648,-27.38438033,0,1,0,0,0,30.88007094,0,-0.084,1,0,0,1,1,0
1/31/13,750.51,757.62,750.25,377.47,3280500,13860.58,3142.13,91.96,1,56.98,0,52886,52238.5,49713,49418.5,49442.2,47797,47109.57,46300.13,46829.11,46495.3,50574.33,48814.8,47657.25,106.38,106.97,113.74,106.76,3349,6.76,1,1,1,0,0,78.86407977,1,42.60869565,41.30434783,44.34782609,43.04347826,41.46774964,44.63704412,46.80035492,47.63162924,49.31881783,52.10122176,42.89855072,44.23137442,50.37530792,96.07843137,102.7514057,81.78060747,121.1684783,7.443860487,9.022861197,1,1,0,1,1,33.33570894,1,0.047,1,1,1,1,1,1
2/1/13,758.2,776.6,758.1,387.41,7520100,14009.79,3179.1,98.77,1,64.82,1,51110,51998,51862.33,50062.25,49756.8,49720.17,48270.29,47609.63,46834.56,47257.2,50411.5,49998.13,47957.71,98.55,102.72,108.15,105.31,2575,5.31,0,1,1,0,0,55.28739496,0,26.08695652,34.34782609,36.23188406,39.7826087,39.65217391,38.90428412,41.9870316,44.21118012,45.23777672,46.9956317,35.2173913,36.3408186,43.19405439,72,65.78947368,55.50932199,66.66666667,-13.04347826,-31.98851025,0,0,0,0,0,39.87638534,1,0.244,1,0,1,0,1,0
2/4/13,767.69,770.47,758.27,379.13,6103700,13880.08,3131.17,78.32,0,64.9,1,56988,54049,53661.33,53143.75,51447.4,50962,50758.43,49360,48651.67,47849.9,54425.17,52167.2,49511.37,106.2,110.77,119.1,127.6,12326,27.6,1,1,1,1,1,71.39891651,1,27.40740741,26.74718196,32.03435319,34.0257649,37.30756844,37.6113795,37.26187316,40.16457858,42.34409427,43.45473979,31.81964573,35.57058508,40.53704299,85.55630027,73.46339779,63.07115758,54.34227331,-23.0273752,-38.69483487,1,0,0,1,0,36.10687023,0,0.048,0,1,0,1,0,0
2/5/13,761.13,771.11,759.47,382.49,3755300,13979.3,3171.58,86.61,1,66.32,1,55042,56015,54380,54006.5,53523.4,52046.5,51544.86,51293.88,49991.33,49290.7,54351.67,52645.6,50336.39,101.22,102.84,111.67,106.69,3451,6.69,0,1,1,0,0,79.11804309,1,31.51851852,29.46296296,28.33762748,31.90539452,33.52431562,36.34272678,36.74097078,36.54395383,39.20390524,41.26153669,31.77643586,35.37788513,39.49007884,111.224973,94.01688874,76.38716598,78.7962963,-8.481481481,-9.05430485,1,0,0,1,1,22.97427875,0,-0.131,0,0,0,1,1,1
2/6/13,759.07,772.96,758.5,384.7,4171700,13986.52,3168.48,92.07,1,72.96,1,56201,55621.5,56077,54835.25,54445.4,53969.67,52640,52126.88,51839.11,50612.3,55290.5,54415.93,51628.43,100.22,103.22,111.04,106.27,3315,6.27,1,1,1,0,0,69.12228306,0,50.7037037,41.11111111,36.54320988,33.92914654,35.66505636,36.38754697,38.39429492,38.4863124,38.11725937,40.35388508,39.52066559,39.25077831,42.23567029,138.75,142.1663356,125.6476386,118.9984883,8.095008052,10.49352896,1,1,1,1,1,62.23359223,1,-0.019,1,0,1,1,1,1
2/7/13,769.7,778.81,765.5,386.59,5701600,13944.05,3165.13,94.16,1,76.17,1,56749,56475,55997.33,56245,55218,54829.33,54366.71,53153.63,52640.44,52330.1,56413,55213.27,53133.54,101.34,102.77,108.44,111.03,5639,11.03,1,0,1,1,1,67.08233837,0,38.37037037,44.53703704,40.19753086,37,34.8173913,36.11594203,36.67080745,38.39130435,38.47342995,38.14257047,37.45679012,36.5668277,38.18398864,95.45454545,110.2046102,100.5972327,147.0864198,12.28341385,19.55449248,0,1,0,0,1,46.03686081,0,0.239,1,1,1,1,1,1
2/8/13,780.13,786.67,779.56,392.29,6062700,13992.97,3193.87,98.57,1,82.54,1,47684,52216.5,53544.67,53919,54532.8,53962.33,53808.57,53531.38,52545.89,52144.8,51840.67,52706.67,51333.75,89.05,87.44,91.45,83.67,-9304,-16.33,0,0,0,0,0,40.78834158,0,38.37037037,38.37037037,42.48148148,39.74074074,37.27407407,35.40955448,36.43800322,36.88325282,38.38897835,38.46312399,39.28395062,36.00171766,38.4462597,90.32258065,102.9411765,99.75885052,140,10.96296296,20.51047758,1,1,0,0,1,66.6216334,1,0.164,0,0,0,0,1,0
2/11/13,778.4,783,773.75,390.82,4351800,13971.24,3192,91.65,0,81.68,0,52874,50279,52435.67,53377,53710,54256.33,53806.86,53691.75,53458.33,52578.7,53209.33,53979.87,52632.39,100.84,98.44,100.56,96.06,-2168,-3.94,1,0,1,1,1,38.51351351,0,36.4,37.38518519,37.71358025,40.96111111,39.07259259,37.12839506,35.5510467,36.43325282,36.82955806,38.19008052,39.44074074,36.98271605,37.86461133,96.51695692,93.15993023,95.31270819,115.4876616,4.881481481,8.165713508,0,0,1,1,0,61.95823483,0,-0.301,0,0,1,0,1,0
