Date,Open,High,Low,Close,Volume,DJI,Nasdaq,Stochastic_Oscillator,Stochastic_Move,RSI,RSI_Move,Wiki_Traffic,Wiki_MA_2,Wiki_MA_3,Wiki_MA_4,Wiki_MA_5,Wiki_MA_6,Wiki_MA_7,Wiki_MA_8,Wiki_MA_9,Wiki_MA_10,Wiki_EMA_3,Wiki_EMA_5,Wiki_EMA_10,Wiki_3_day_Disparity,Wiki_5_day_Disparity,Wiki_10_day_Disparity,Wiki_Momentum_1,Wiki_Momentum_2,Wiki_ROC,Wiki_Move,Wiki_MA3_Move,Wiki_EMA5_Move,Wiki_3dayDisparity_Move,Wiki_ROC_Move,Wiki_5_day_RSI,Wiki_RSI_Move,Google,Google_MA_2,Google_MA_3,Google_MA_4,Google_MA_5,Google_MA_6,Google_MA_7,Google_MA_8,Google_MA_9,Google_MA_10,Google_EMA_3,Google_EMA_5,Google_EMA_10,Google_3_day_Disparity,Google_5_day_Disparity,Google_10_day_Disparity,Google_Momentum_1,Google_Momentum_2,Google_ROC,Google_Move,Google_MA3_Move,Google_EMA5_Move,Google_3dayDisparity_Move,Google_ROC_Move,Google_5_day_RSI,Google_RSI_Move,News_Sentiment,Senti_Move,Target1,Target2,Target3,Target4,Target5
1/2/13,23.83,24.41,23.67,24.190001,2991400,13412.55,8632.009766,92.97127571,1,72.62776373,0,3381,2985.5,2961.333333,2983.25,2921,2826.5,2794.285714,2781.875,2777.111111,2768.6,3115.833333,2937.4,2879.945455,114.1715443,115.7480315,122.1194828,126.5344311,709,26.53443114,1,1,1,1,1,76.40102828,1,6.181818182,6,6.698412698,7.285714286,8.019047619,8.428571429,8.40461402,8.277950311,7.986197378,7.839751553,6.917748918,7.979220779,7.538309122,92.28780698,77.0891816,78.85222051,56.44268775,-4.770562771,-74.54004329,1,0,0,1,0,14.05797101,0,0.067,1,0,1,1,1,1
1/3/13,23.950001,25.17,23.92,24.93,6693900,13391.36,8607.790039,93.66754784,1,79.72973977,1,3147,3264,3039.333333,3007.75,3016,2958.666667,2872.285714,2838.375,2822.444444,2814.1,3054.166667,2996.333333,2874.627273,103.5424435,104.3435013,111.8297147,103.2141686,98,3.21416858,0,1,1,0,0,62.76195594,0,6.181818182,6.181818182,6.060606061,6.569264069,7.064935065,7.712842713,8.107606679,8.12676454,8.045046741,7.805759458,6.44011544,7.406637807,7.510497408,102,87.5,79.19560185,68.32535885,-2.865800866,-35.82251082,1,0,0,1,1,6.614173228,0,0.5,1,0,1,1,1,0
1/4/13,24.85,25.959999,24.83,25.85,5184900,13435.21,8667.679688,96.5517544,1,76.87862753,0,3022,3084.5,3183.333333,3035,3010.6,3017,2967.714286,2891,2858.777778,2842.4,3030.666667,3018,2875.054545,94.93193717,100.3786621,106.318604,103.7418469,109,3.741846893,0,1,1,0,1,49.16096955,0,8,7.090909091,6.787878788,6.545454545,6.855411255,7.220779221,7.753865182,8.094155844,8.112679591,8.040542067,7.03030303,7.376623377,8.033170782,117.8571429,116.6961354,99.49577944,98.82352941,-0.095238095,-1.275510204,1,1,0,1,1,40.32,1,1,1,0,1,0,1,1
1/7/13,25.719999,26.110001,25.33,25.67,5527400,13384.29,8636.910156,86.41972222,0,75,0,3141,3081.5,3103.333333,3172.75,3056.2,3032.333333,3034.714286,2989.375,2918.777778,2887,3162.166667,3054.066667,2933.181818,101.2137487,102.7746875,108.7980603,121.2741313,551,21.27413127,1,0,1,1,1,57.16080402,1,6.666666667,7.333333333,6.949494949,6.757575758,6.56969697,6.823953824,7.141620284,7.617965368,7.935545936,7.968078299,6.727272727,6.792496392,7.731458002,95.93023256,101.4760148,83.66718319,114.5833333,0.848484848,11.47950089,0,1,0,0,1,37.66816143,0,1,0,1,1,0,0,0
1/8/13,25.950001,25.959999,25.4,25.620001,3357400,13328.85,8604.379883,84.87654321,0,72.56462675,0,3286,3213.5,3149.666667,3149,3195.4,3094.5,3068.571429,3066.125,3022.333333,2955.5,3194.666667,3132.8,3015.590909,104.3285004,102.8353258,111.182541,97.19018042,-95,-2.80981958,1,1,1,1,0,74.61103253,1,7.555555556,7.111111111,7.407407407,7.101010101,6.917171717,6.734006734,6.928468357,7.193362193,7.611030944,7.897546898,7.252525253,6.898316498,7.835366654,102,109.228972,95.66965101,122.2222222,1.373737374,21.06397306,1,1,1,1,1,69.72477064,1,1,0,0,0,1,0,1
1/9/13,25.559999,25.950001,25.200001,25.639999,3610900,13390.51,8636.099609,85.49376543,1,71.42857439,0,3544,3415,3323.666667,3248.25,3228,3253.5,3158.714286,3128,3119.222222,3074.5,3346.833333,3311.6,3159.863636,106.6292248,109.7893432,115.2707757,112.6151891,397,12.61518907,1,1,1,1,1,59.25085131,0,8.444444444,8,7.555555556,7.666666667,7.36969697,7.171717172,6.978354978,7.117965368,7.332371332,7.694372294,7.925925926,7.426262626,7.830749049,111.7647059,114.5833333,109.7483215,136.6013072,2.262626263,40.03108003,1,1,1,1,1,72.95081967,1,-1,0,1,1,0,0,1
1/10/13,25.77,25.879999,24.9,25.389999,6139000,13471.22,8713.75,77.77771605,0,65.24520906,0,3157,3350.5,3329,3282,3230,3216.166667,3239.714286,3158.5,3131.222222,3123,3240.333333,3204.333333,3129.181818,94.83328327,97.73993808,101.0886968,104.4672402,135,4.467240238,0,1,0,0,0,50.48355899,0,7.111111111,7.777777778,7.703703704,7.444444444,7.555555556,7.326599327,7.163059163,6.994949495,7.117203784,7.31024531,7.333333333,7.283501684,7.274039092,92.30769231,94.11764706,97.27595736,88.88888889,-0.888888889,-12.02614379,0,1,0,0,0,57.41935484,0,0,1,0,0,1,1,0
1/11/13,25.389999,25.99,25.309999,25.99,4846500,13488.43,8712.400391,96.29626543,1,68.28793869,1,3174,3165.5,3291.666667,3290.25,3260.4,3220.666667,3210.142857,3231.5,3160.222222,3135.5,3251.5,3211.333333,3142.5,96.42531646,97.3500184,101.2278743,101.0506208,33,1.050620821,1,0,1,1,0,58.20734341,1,7.111111111,7.111111111,7.555555556,7.555555556,7.377777778,7.481481481,7.295815296,7.156565657,7.007856341,7.116594517,7.407407407,7.407407407,7.115597534,94.11764706,96.38554217,99.92294902,106.6666667,0.444444444,5.380116959,1,0,1,1,1,40,0,1,1,0,1,0,1,1
1/14/13,25.84,26.07,25.5,25.99,5334200,13507.32,8717.44043,96.29626543,1,67.78656193,0,3097,3135.5,3142.666667,3243,3251.6,3233.166667,3203,3196,3216.555556,3153.9,3194.333333,3205.933333,3143.554545,98.54688163,95.24541764,98.19588446,94.24832623,-189,-5.751673767,0,0,0,1,0,47.51131222,0,31.2,19.15555556,15.14074074,13.46666667,12.28444444,11.34814815,10.86984127,10.28383838,9.828058361,9.427070707,19.37777778,15.31851852,13.38578512,206.0665362,253.9797395,330.9617692,412.9411765,23.64444444,225.6969697,1,1,1,1,1,95.09803922,1,1,0,0,0,0,1,1
1/15/13,25.280001,26.02,25.200001,25.959999,5428700,13534.89,8733.099609,95.37030864,0,71.90774503,1,3245,3171,3172,3168.25,3243.4,3250.5,3234.857143,3208.25,3201.444444,3219.4,3193.833333,3249.4,3224.054545,102.3013871,100.0493309,100.7951792,91.56320542,-299,-8.436794582,1,1,1,1,0,47.68883878,1,25.13333333,28.16666667,21.14814815,17.63888889,15.8,14.42592593,13.31746032,12.65277778,11.93378227,11.35858586,20.13703704,16.56740741,13.8630854,118.8441331,159.07173,221.2716763,297.6315789,16.68888889,152.3768116,0,1,1,0,0,77.14481812,0,0,0,0,1,1,1,0
